"ApkName","FieldName","OriginalText","TranslatedText",
"AccountAndSyncSettings.apk","has_nick","Account already has a nickname","Konto hat bereits einen Nicknamen",
"AccountAndSyncSettings.apk","app_label","Account and Sync Settings","Konto- & Sync-Einstellungen.",
"AccountAndSyncSettings.apk","account_deleted","Account has been deleted","Der Account wurde gelöscht",
"AccountAndSyncSettings.apk","account_disabled","Account has been disabled","Der Account wurde gesperrt",
"AccountAndSyncSettings.apk","user_id","Account ID","Konto ID",
"AccountAndSyncSettings.apk","header_account_settings","Account settings","Kontoeinstellungen",
"AccountAndSyncSettings.apk","sync_settings","Accounts & sync settings","Konten & Synchronisierung",
"AccountAndSyncSettings.apk","add_account_label","Add account","Konto hinzufügen",
"AccountAndSyncSettings.apk","header_add_an_account","Add an account","Konto hinzufügen",
"AccountAndSyncSettings.apk","has_bound","Already exists","Existiert bereits",
"AccountAndSyncSettings.apk","header_application_sync_settings","Application sync settings","Anwendungssynchronisierung",
"AccountAndSyncSettings.apk","background_data_summary","Applications can sync, send, and receive data at any time","Daten können synchronisiert, gesendet und empfangen werden.",
"AccountAndSyncSettings.apk","sync_automatically_summary","Applications sync data automatically","Anwendungen synchronisieren Daten automatisch.",
"AccountAndSyncSettings.apk","background_data_dialog_title","Attention","Achtung",
"AccountAndSyncSettings.apk","bad_authentication","Authentication failed, bad username or password supplied","Benutzername oder Passwort falsch",
"AccountAndSyncSettings.apk","sync_automatically","Auto-sync","Autom. synchronisieren",
"AccountAndSyncSettings.apk","settings_backup_summary","Back up my settings","Einstellungen sichern",
"AccountAndSyncSettings.apk","settings_backup","Back up settings","Einstellungen sichern",
"AccountAndSyncSettings.apk","background_data","Background data","Hintergrunddaten",
"AccountAndSyncSettings.apk","bad_token","Bad token","Ungültiger Token",
"AccountAndSyncSettings.apk","bind_email_dialog_title","Bind E-mail","Email verknüpfen",
"AccountAndSyncSettings.apk","user_email_title","Bind E-mail address","Emailadresse",
"AccountAndSyncSettings.apk","user_nickname_title","Bind nickname","Nickname verknüpfen",
"AccountAndSyncSettings.apk","bind_phone_dialog_title","Bind phone","Telefon verknüpfen",
"AccountAndSyncSettings.apk","user_phone_title","Bind phone number","Telefonnummer",
"AccountAndSyncSettings.apk","sync_calendar","Calendar","Google Kalender",
"AccountAndSyncSettings.apk","sync_menu_sync_cancel","Cancel sync","Synchronisierung abbrechen",
"AccountAndSyncSettings.apk","cant_sync_dialog_title","Cannot manually sync","Manuelle Synchronisierung kann nicht durchgeführt werden",
"AccountAndSyncSettings.apk","preference_change_password_title","Change password","Passwort ändern",
"AccountAndSyncSettings.apk","sync_contacts","Contacts","Kontakte",
"AccountAndSyncSettings.apk","header_data_and_synchronization","Data & synchronization","Daten & Synchronisierung",
"AccountAndSyncSettings.apk","header_manage_default_accounts","Default accounts","Standardkonten verwalten",
"AccountAndSyncSettings.apk","sync_too_many_deletes","Delete limit exceeded","Löschbegrenzung überschritten",
"AccountAndSyncSettings.apk","sync_really_delete","Delete the items.","Elemente löschen",
"AccountAndSyncSettings.apk","disable_mitalk_dialog_title","Disable MiTalk sync","MiTalk Sync Aus",
"AccountAndSyncSettings.apk","background_data_dialog_message","Disabling background data extends battery life and lowers data use. Some applications may still use the background data connection.","Durch die Deaktivierung von Hintergrunddaten kann die Akkulaufzeit verlängert und die Verwendung von Daten verringert werden. Einige Anwendungen nutzen die Hintergrunddatenverbindung möglicherweise weiterhin.",
"AccountAndSyncSettings.apk","sync_do_nothing","Do nothing for now.","Im Moment nichts unternehmen",
"AccountAndSyncSettings.apk","really_remove_account_message","Do you really want to log off this account? Logging off will also delete all of its messages, contacts, and other data from the phone. \nProceed?",""Möchten Sie dieses Konto wirklich entfernen? Hierdurch werden auch die zugehörigen Nachrichten, Kontakte und anderen Daten auf dem Telefon gelöscht. 
Vorgang fortsetzen?"",
"AccountAndSyncSettings.apk","user_email","Email","Email",
"AccountAndSyncSettings.apk","user_email_format_error","E-mail address contains invalid characters","E-Mail-Adresse enthält ungültige Zeichen",
"AccountAndSyncSettings.apk","user_email_description","E-mail address for login and account recovery","Email für Login und Kontowiederherstellung",
"AccountAndSyncSettings.apk","email_not_verified","E-mail unverified","E-Mail nicht überprüft",
"AccountAndSyncSettings.apk","enable_mitalk_dialog_title","Enable MiTalk sync","MiTalk Sync An",
"AccountAndSyncSettings.apk","finish_button_label","Finish","Fertigstellen",
"AccountAndSyncSettings.apk","header_general_sync_settings","General sync settings","Allgemeine Synchronisierungseinstellungen",
"AccountAndSyncSettings.apk","sync_gmail","Gmail","Google Mail",
"AccountAndSyncSettings.apk","user_email_hint","Input your E-mail address here","Hier Email Adresse eingeben",
"AccountAndSyncSettings.apk","user_nickname_hint","Input your nickname here","Hier Nickname eingeben",
"AccountAndSyncSettings.apk","user_phone_hint","Input your phone number here","Hier Handynr. eingeben",
"AccountAndSyncSettings.apk","logoff_account_label","Log off","Abmelden",
"AccountAndSyncSettings.apk","really_remove_account_title","Log off account","Konto entfernen",
"AccountAndSyncSettings.apk","header_manage_accounts","Manage accounts","Konten verwalten",
"AccountAndSyncSettings.apk","user_mitalk_sync_title","MiTalk","MiTalk",
"AccountAndSyncSettings.apk","user_mitalk_sync_summary","MiTalk allows you to send messages, pictures and chat with friends","Bei MiTalk anmelden für unbegrenzten Sprach, Text und Bild Chat",
"AccountAndSyncSettings.apk","user_detail","My Card","Meine Karte",
"AccountAndSyncSettings.apk","network_error","Network connection error","Netzwerkfehler",
"AccountAndSyncSettings.apk","user_nickname","Nickname","Nickname",
"AccountAndSyncSettings.apk","nickname_exist","Nickname already exists","Nickname existiert bereits",
"AccountAndSyncSettings.apk","user_nickname_description","Nickname will be used for various Xiaomi services","Nickname wird für verschiedene Xiaomi Dienste benutzt",
"AccountAndSyncSettings.apk","bind_dialog_button","OK","Verknüpfen",
"AccountAndSyncSettings.apk","user_phone","Phone","Telefon",
"AccountAndSyncSettings.apk","user_phone_format_error","Phone number contains invalid characters","Telefonnummer enthält ungültige Zeichen",
"AccountAndSyncSettings.apk","user_phone_description","Phone number for login and account recovery","Handynr. für Login und Kontowiederherstellung",
"AccountAndSyncSettings.apk","provider_label","Push subscriptions","Push-Abos",
"AccountAndSyncSettings.apk","remove_account_label","Remove account","Konto entfernen",
"AccountAndSyncSettings.apk","xiaomi_remove_account_title","Remove Xiaomi account","Xiaomi Konto entfernen",
"AccountAndSyncSettings.apk","xiaomi_remove_account_message","Removing this account will also delete Xiaomi service data, Market and MiTalk applications (Contacts, SMS and Call logs are retained), are you sure you want to remove?","Deleting this account will also remove Millet service data, including Application Supermarket, M talk, etc. (Contacts, SMS, call log is retained). Are you sure to delete?",
"AccountAndSyncSettings.apk","sending_bind_request","Request has been sent","Anfrage wurde gesendet",
"AccountAndSyncSettings.apk","service_unavailable","Service currently unavailable","Dienst derzeit nicht verfügbar",
"AccountAndSyncSettings.apk","service_disabled","Service has been disabled","Der Dienst wurde gesperrt",
"AccountAndSyncSettings.apk","sync_item_title","Sync %s","Synchronisiere %s",
"AccountAndSyncSettings.apk","sync_error","Sync error","Synchronisierungsfehler",
"AccountAndSyncSettings.apk","cant_sync_dialog_message","Sync for this item is currently disabled. To change your preference, temporarily turn on background data and automatic sync.","Die Synchronisierung ist für dieses Element zurzeit deaktiviert. Zur Änderung Ihrer Voreinstellungen aktivieren Sie vorübergehend Hintergrunddaten und automatische Synchronisierung.",
"AccountAndSyncSettings.apk","sync_is_failing","Sync is currently experiencing problems. It will be back shortly.","Bei der Synchronisierung treten derzeit Probleme auf. Sie wird in Kürze fortgesetzt.",
"AccountAndSyncSettings.apk","sync_disabled","Sync is OFF","Synchronisierung ist deaktiviert",
"AccountAndSyncSettings.apk","sync_enabled","Sync is ON","Synchronisierung ist aktiviert",
"AccountAndSyncSettings.apk","sync_menu_sync_now","Sync now","Jetzt synchronisieren",
"AccountAndSyncSettings.apk","sync_too_many_deletes_desc","There are %1$d deleted items for %2$s, account %3$s. What would you like to do?","Für %2$s, Konto %3$s, liegen %1$d gelöschte Elemente vor. Was möchten Sie tun?",
"AccountAndSyncSettings.apk","remove_account_failed","This account is required by some applications. You can only remove it by resetting the phone to factory defaults (which deletes all your personal data). You do that in the Settings application, under Privacy.","Dieses Konto wird von einigen Anwendungen benötigt. Sie können es nur entfernen, indem Sie das Telefon auf die Werkseinstellungen zurücksetzen und so alle persönlichen Daten löschen. Wählen Sie hierfür unter \"Datenschutz\" die Option \"Einstellungen\".",
"AccountAndSyncSettings.apk","sync_one_time_sync","Touch to sync now\n%1$s",""Zum sofortigen Synchronisieren berühren
%1$s"",
"AccountAndSyncSettings.apk","user_unbind","unbind","---",
"AccountAndSyncSettings.apk","sync_undo_deletes","Undo the deletes.","Löschen rückgängig machen",
"AccountAndSyncSettings.apk","unknown","Unknown error occurred","Unbekannt",
"AccountAndSyncSettings.apk","registered_account","Username has been registered","Benutzername wurde registriert",
"AccountAndSyncSettings.apk","user_phone_button_verify","Verification","Überprüfen",
"AccountAndSyncSettings.apk","user_email_button_verify","Verification","Überprüfen",
"AccountAndSyncSettings.apk","user_nickname_button_verify","Verification","Bestätigen",
"AccountAndSyncSettings.apk","bad_verification","Verification has failed","Überprüfung ist fehlgeschlagen",
"AccountAndSyncSettings.apk","enable_mitalk_dialog_message","Will log in MiTalk with system account. If it is inconsistent with current MiTalk ID, your data will be cleared. Are you sure?","MiTalk Sync aktivieren um über neue Nachrichten von deinen Freunden erhalten informiert zu werden?",
"AccountAndSyncSettings.apk","xiaomi_account","Xiaomi Account","Xiaomi Konto",
"AccountAndSyncSettings.apk","terms_not_agreed","You must agree to the terms and conditions","Bitte akzeptieren Sie die Nutzungsbedingungen",
"AccountAndSyncSettings.apk","disable_mitalk_dialog_message","You will not be able to chat with your MiTalk friends via Contacts, are you sure you want to close it? (You may change or cancel account in Settings of MiTalk)","MiTalk Sync aktivieren umkeine neuen Nachrichten zu Empfangen.Sind Sie sicher?",
"AccountAndSyncSettings.apk","bind_email_dialog_message","You will receive an E-mail confirmation with a verification code to validate your account","Sie erhalten eine Email mit einem Bestätigungscode um Ihr Konto zu bestätigen",
"AccountAndSyncSettings.apk","bind_phone_dialog_message","You will receive an SMS confirmation with a verification code to validate your account","Sie erhalten SMS mit einem Bestätigungscode um Ihr Konto zu bestätigen",
"AntiSpam.apk","act_mute_ms_summary","不响铃不振动，但依然在短信会话中","Benachrichtigungen sind deaktiviert, aber Nachrichten werden weiterhin angezeigt",
"AntiSpam.apk","act_mute_call_summary","不响铃不振动，但依然在通话记录中","Anrufe werden nicht angezeigt aber im Anrufverlauf protokolliert",
"AntiSpam.apk","act_ignore_ms","不拦截","Ignoriere Benachrichtigung",
"AntiSpam.apk","act_action_accept_accept","不拦截","Akzeptieren",
"AntiSpam.apk","act_ignore_call","不拦截","Anrufe ignorieren",
"AntiSpam.apk","fw_menu_pick_from_contact","从通话和联系人中选择...","Aus Kontakte wählen",
"AntiSpam.apk","save_button","保存","Speichern",
"AntiSpam.apk","edit_whitelist","修改备注","Whitelist ändern",
"AntiSpam.apk","edit_blacklist","修改备注","Blacklist ändern",
"AntiSpam.apk","check_nothing","全不选","Keine",
"AntiSpam.apk","fw_all_day","全天拦截","Täglich",
"AntiSpam.apk","check_all","全选","Alle",
"AntiSpam.apk","fw_add_keyword_existing","关键词: %s 已经存在","Stichwort: %s existiert bereits",
"AntiSpam.apk","fw_menu_remove","删除","Löschen",
"AntiSpam.apk","context_ms","发短信","Sende eine SMS/MMS",
"AntiSpam.apk","cancel_button","取消","Abbrechen",
"AntiSpam.apk","no","取消","Abbrechen",
"AntiSpam.apk","opt_accept_whitelist","只接收白名单里的人","Ausgewählte erlauben",
"AntiSpam.apk","fw_in_whitelist","号码: %s 已经存在白名单中","Nr.: %s existiert in Whitelist",
"AntiSpam.apk","fw_in_blacklist","号码: %s 已经存在黑名单中","Nr.: %s existiert in Blacklist",
"AntiSpam.apk","opt_reject_blacklist_stranger_summary","同时拦截黑名单，接受白名单","Unbekannte Nummern ablehnen",
"AntiSpam.apk","fw_notes_hint","备注（可选）","Hinweis (Optional)",
"AntiSpam.apk","act_call","对于拦截的来电","In Anrufverlauf anzeigen",
"AntiSpam.apk","act_ms","对于拦截的短信","SMS/MMS Verlauf",
"AntiSpam.apk","fw_import_ms","导入该联系人的所有短信","Importiere alle Nachrichten des Kontaktes",
"AntiSpam.apk","act_del_ms","屏蔽并放入拦截记录","SMS/MMS nicht anzeigen",
"AntiSpam.apk","act_hangup_call","屏蔽并放入拦截记录","Sofort auflegen",
"AntiSpam.apk","act_action_reject_accept","屏蔽来电","Anrufe eintragen",
"AntiSpam.apk","act_action_reject_reject","屏蔽来电和短信","Eingehende Anrufe und Nachrichten eintragen",
"AntiSpam.apk","act_action_reject_mute","屏蔽来电，静音短信","Anrufe und Lautlose Nachrichten eintragen",
"AntiSpam.apk","act_hangup_call_summary","屏蔽的来电不会出现在通话记录中","Abgelehnte Anrufe werden nicht in der Anrufliste angezeigt",
"AntiSpam.apk","act_del_ms_summary","屏蔽的短信不会出现在短信会话中","Abgelehnte Nachrichten werden nicht angezeigt",
"AntiSpam.apk","act_action_accept_reject","屏蔽短信","Nachrichten blockieren",
"AntiSpam.apk","fw_blocked","已保护您免于打扰","Block-Statistik",
"AntiSpam.apk","member_firewall_log","已拦截: 电话%d, 信息%d","Blockiert: Nummer %d Details %d",
"AntiSpam.apk","show_firewall_notification","常驻图标","Firewall Meldungen",
"AntiSpam.apk","enable_firewall","开启拦截","Firewall aktivieren",
"AntiSpam.apk","emptylist_fwlog_call","当前没有来电拦截记录","Alle blockierten Anrufe werden hier angezeigt.",
"AntiSpam.apk","emptylist_fwlog_ms","当前没有短信拦截记录","Alle blockierten Nachrichten werden hier angezeigt.",
"AntiSpam.apk","fw_restore_ms","恢复到手机短信","Zurück zu Nachrichten",
"AntiSpam.apk","fw_menu_new_manual","手工添加","Manuell hinzufügen",
"AntiSpam.apk","fw_whitelist_hint","把您最信赖的号码添加到这里。\n白名单中的来电和短信默认不拦截。","Whitelist Einträge werden nicht blockiert",
"AntiSpam.apk","fw_blacklist_hint","把您要拦截的号码添加到这里。\n黑名单中的来电和短信默认全部拦截。","Anrufe und Nachrichten werden automatisch geblockt, wenn sie zur Blacklist hinzugefügt werden",
"AntiSpam.apk","opt_reject_blacklist_stranger","拦截不在通信录里的人","Unbekannte ablehnen",
"AntiSpam.apk","fw_action_settings","拦截后操作","Einstellungen",
"AntiSpam.apk","fw_pattern_settings","拦截对象","Firewall Regel",
"AntiSpam.apk","opt_reject_all","拦截所有人","Alle ablehnen",
"AntiSpam.apk","firewall_action","拦截操作","Art der Sperrung",
"AntiSpam.apk","fw_time_settings","拦截时间","Zeitplan",
"AntiSpam.apk","firewall_settings_tab_title","拦截规则","Firewall",
"AntiSpam.apk","firewall_log","拦截记录","Berichte",
"AntiSpam.apk","show_notification","拦截通知","Zeige Benachrichtigungen",
"AntiSpam.apk","anti_stranger_title","拦截骚扰电话","Keine Unbekannte",
"AntiSpam.apk","opt_reject_blacklist","拦截黑名单里的人","Ablehnen nach Blacklist",
"AntiSpam.apk","context_call","拨打电话","Anrufen",
"AntiSpam.apk","fw_period","指定拦截时间","Sperrfrist eingeben",
"AntiSpam.apk","context_new_contact","新建联系人","Neuer Kontakt",
"AntiSpam.apk","fw_keyword_list","智能拦截关键词","Stichwort Liste",
"AntiSpam.apk","fw_blocked_count","替您新拦截了%d个来电%d个短信","%d %d Anrufe und Nachrichten blockiert",
"AntiSpam.apk","calllog","来电","Anrufe",
"AntiSpam.apk","call_log_tab_title","来电","Anrufe",
"AntiSpam.apk","fw_call_rejected","来电被拦截","Anrufe abgelehnt",
"AntiSpam.apk","fw_call_muted","来电被静音","Anrufe Lautlos",
"AntiSpam.apk","fw_keyword_filter_summary","根据关键词过滤陌生人短信","Nachrichten mit ausgewählten Stichwörtern werden gefiltert",
"AntiSpam.apk","fw_import_whitelist","正在添加白名单","Whitelist importieren",
"AntiSpam.apk","fw_import_blacklist","正在添加黑名单","Blacklist importieren",
"AntiSpam.apk","add_button","添加","Hinzufügen",
"AntiSpam.apk","context_add_contact","添加到已有联系人","Zu existierenden Kontakt hinzufügen",
"AntiSpam.apk","add_whitelist","添加号码到白名单","Whitelist anlegen",
"AntiSpam.apk","fw_menu_new_whitelist_title","添加号码到白名单","Zur Whitelist hinzufügen",
"AntiSpam.apk","add_blacklist","添加号码到黑名单","Blacklist anlegen",
"AntiSpam.apk","fw_menu_new_blacklist_title","添加号码到黑名单","Zur Blacklist hinzufügen",
"AntiSpam.apk","fw_add_keyword","添加拦截关键词","Stichworte hinzufügen",
"AntiSpam.apk","clear_all_mslog","清空信息拦截记录","Alle SMS/MMS im Bericht löschen",
"AntiSpam.apk","fw_clear_all_keyword","清空拦截关键词","Alle Löschen",
"AntiSpam.apk","clear_all_calllog","清空电话拦截记录","Alle Anrufe im Bericht löschen",
"AntiSpam.apk","fw_clear_whitelist","清空白名单","Lösche Whitelist",
"AntiSpam.apk","fw_clear_blacklist","清空黑名单","Lösche Blacklist",
"AntiSpam.apk","fw_call","电话拦截：%s (%d)","Eingang des Anrufs: %s (%d)",
"AntiSpam.apk","fw_whitelist","白名单","Whitelist",
"AntiSpam.apk","mms_log_tab_title","短信","Nachrichten",
"AntiSpam.apk","fw_ms","短信拦截：%s (%d)","Eingang der Nachricht: %s (%d)",
"AntiSpam.apk","fw_ms_imported","短信被导入","SMS wurde Importiert",
"AntiSpam.apk","fw_ms_rejected","短信被拦截","Nachrichten blockiert",
"AntiSpam.apk","fw_ms_filtered","短信被过滤","Nachrichten gefiltert",
"AntiSpam.apk","fw_ms_muted","短信被静音","Nachrichten sind Lautlos",
"AntiSpam.apk","confirm","确定","OK",
"AntiSpam.apk","remove","移除","Entfernen",
"AntiSpam.apk","act_mute_ms","简单静音","SMS/MMS ohne Ankündigung",
"AntiSpam.apk","act_mute_call","简单静音","Lautlose Anrufe",
"AntiSpam.apk","fw_end_time","结束时间","Endzeit",
"AntiSpam.apk","menu_edit","编辑","Editor",
"AntiSpam.apk","fw_edit_keyword","编辑拦截关键词","Stichworte ändern",
"AntiSpam.apk","fw_set_keyword","设置过滤关键词","Stichwort Filter Konfigurieren",
"AntiSpam.apk","fw_start_time","起始时间","Startzeit",
"AntiSpam.apk","number_add_hint","输入电话号码","Nummer eingeben",
"AntiSpam.apk","fw_add_list_title","输入电话号码","Nummer eingeben",
"AntiSpam.apk","fw_keyword_filter","过滤垃圾短信","Stichwort Spam-Filter",
"AntiSpam.apk","fw_notification_settings","通知和其它","Benachrichtigungs Einstellungen",
"AntiSpam.apk","app_name","防打扰","Anti-Spam",
"AntiSpam.apk","fw_no_effect","防打扰功能没有开启。是否继续？","Gast-Modus ist ausgeschaltet",
"AntiSpam.apk","firewall_settings","防打扰设置","Privater Modus",
"AntiSpam.apk","fw_on","防打扰运行中","Privater Modus läuft",
"AntiSpam.apk","fw_keyword_list_hint","陌生人发给您的短信中出现下列词语就会被拦截。您可一次添加多个，用逗号分开。","Diese Stichwort werden verwendet, um eingehende Nachrichten zu blockieren",
"AntiSpam.apk","anti_stranger_summary","陌生人来电第一声响铃静音","Unbekannte (die nicht in der Kontaktliste existieren) werden gefiltert",
"AntiSpam.apk","act_action_mute_accept","静音来电","Lautlose Anrufe",
"AntiSpam.apk","act_action_mute_mute","静音来电和短信","Lautlose Anrufe und Nachrichten",
"AntiSpam.apk","act_action_mute_reject","静音来电，屏蔽短信","Lautlose Anrufe, Nachrichten eintragen",
"AntiSpam.apk","act_action_accept_mute","静音短信","Lautlose Nachrichten",
"AntiSpam.apk","fw_advanced_settings","高级拦截","Erweiterte Einstellungen",
"AntiSpam.apk","fw_blacklist","黑名单","Blacklist",
"AntiSpam.apk","black_white_list_tab_title","黑白名单","Filter",
"ApplicationsProvider.apk","application_desc","Application","Anwendung",
"ApplicationsProvider.apk","search_label","Apps","Apps",
"ApplicationsProvider.apk","settings_description","Names of installed applications","Namen der installierten Anwendungen",
"ApplicationsProvider.apk","app_label","Search Applications Provider","Such App",
"Backup.apk","restore_launcher_layout_hit","(Note: Restore launcher layout)","(Hinweis: Launcher Layout wiederherstellen)",
"Backup.apk","restore_telephony_hit","(Note: The recovery process will restart the Phone application)",""(Hinweis: Nach der Wiederherstellung wird die 'Phone'-Applikation neu gestartet)"",
"Backup.apk","restore_contacts_hit","(Note: You need to manually establish the original account before restoring Contacts)","(Hinweis: Kontakte sollten manuell wiederhergestellt werden.)",
"Backup.apk","batch_delete_backup_confirm","\n Are you sure you wish to delete the selected backup?","Ausgewählte Sicherung wird gelöscht. Fortsetzen?",
"Backup.apk","backup_recently","\u0020(Latest)","" (Neueste)"",
"Backup.apk","cloud_item_info_summary","\u0020(Local %1$s | Cloud %2$s)","(Lokal: %1$s|Online: %2$s)",
"Backup.apk","backup_items_app_tailer","\u0020App Data Files","" Prog.-Daten"",
"Backup.apk","unit_byte","\u0020Bytes","" Bytes"",
"Backup.apk","unit_piece","\u0020Item(s)","" Teil(e)"",
"Backup.apk","backup_items_sysdata_tailer","\u0020System Data Files","" System-Daten "",
"Backup.apk","auto_backup_interval_hint","%d days","%d Tag(e)",
"Backup.apk","total_num","%d record(s) in total","Ingesamt %d Backup(s)",
"Backup.apk","import_from_xiaomi_account_hint1","1. Start a phone with contacts\n\n2. Install MiTalk and log in.\n http://www.miliao.com\n\n3. Enter MiTalk settings and choose ”Back up contacts to Xiaomi account”",""1. Start a phone with contacts

2. Install MiTalk and log in.
 http://www.miliao.com

3. Enter MiTalk settings and choose ”Back up contacts to Xiaomi account”"",
"Backup.apk","auto_backup_interval_max","30 days","30 Tage",
"Backup.apk","system_data_label-system_data_label-string-array-item7","Alarm settings","Alarm Einstellungen",
"Backup.apk","backup_dialog_content_type-backup_dialog_content_type-string-array-item1","All programs","Alle Anwendungen",
"Backup.apk","local_select_userapp","Applications","Programme",
"Backup.apk","auto_backup","Automatic Backup","Auto Backup",
