"ApkName","FieldName","OriginalText","TranslatedText",
"AccountAndSyncSettings.apk","has_nick","Account already has a nickname","La cuenta ya tiene un apodo",
"AccountAndSyncSettings.apk","app_label","Account and Sync Settings","Account and Sync Settings",
"AccountAndSyncSettings.apk","account_deleted","Account has been deleted","Cuenta eliminada",
"AccountAndSyncSettings.apk","account_disabled","Account has been disabled","Cuenta deshabilitada",
"AccountAndSyncSettings.apk","user_id","Account ID","Account ID",
"AccountAndSyncSettings.apk","header_account_settings","Account settings","Ajustes",
"AccountAndSyncSettings.apk","sync_settings","Accounts & sync settings","Accounts & sync settings",
"AccountAndSyncSettings.apk","add_account_label","Add account","Añadir cuenta",
"AccountAndSyncSettings.apk","header_add_an_account","Add an account","Add an account",
"AccountAndSyncSettings.apk","has_bound","Already exists","Repita los vinculantes",
"AccountAndSyncSettings.apk","header_application_sync_settings","Application sync settings","Application sync settings",
"AccountAndSyncSettings.apk","background_data_summary","Applications can sync, send, and receive data at any time","Applications can sync, send, and receive data at any time",
"AccountAndSyncSettings.apk","sync_automatically_summary","Applications sync data automatically","Applications sync data automatically",
"AccountAndSyncSettings.apk","background_data_dialog_title","Attention","Atención",
"AccountAndSyncSettings.apk","bad_authentication","Authentication failed, bad username or password supplied","Usuario o contraseña incorrectos",
"AccountAndSyncSettings.apk","sync_automatically","Auto-sync","Auto-sync",
"AccountAndSyncSettings.apk","settings_backup_summary","Back up my settings","Copia de seguridad de mi configuración",
"AccountAndSyncSettings.apk","settings_backup","Back up settings","Back up settings",
"AccountAndSyncSettings.apk","background_data","Background data","Background data",
"AccountAndSyncSettings.apk","bad_token","Bad token","Bad token",
"AccountAndSyncSettings.apk","bind_email_dialog_title","Bind E-mail","Bind E-mail",
"AccountAndSyncSettings.apk","user_email_title","Bind E-mail address","Bind E-mail address",
"AccountAndSyncSettings.apk","user_nickname_title","Bind nickname","Bind nickname",
"AccountAndSyncSettings.apk","bind_phone_dialog_title","Bind phone","Bind phone",
"AccountAndSyncSettings.apk","user_phone_title","Bind phone number","Bind phone number",
"AccountAndSyncSettings.apk","sync_calendar","Calendar","Calendario",
"AccountAndSyncSettings.apk","sync_menu_sync_cancel","Cancel sync","Cancel sync",
"AccountAndSyncSettings.apk","cant_sync_dialog_title","Cannot manually sync","Cannot manually sync",
"AccountAndSyncSettings.apk","preference_change_password_title","Change password","Change password",
"AccountAndSyncSettings.apk","sync_contacts","Contacts","Contactos",
"AccountAndSyncSettings.apk","header_data_and_synchronization","Data & synchronization","Data & synchronization",
"AccountAndSyncSettings.apk","header_manage_default_accounts","Default accounts","Default accounts",
"AccountAndSyncSettings.apk","sync_too_many_deletes","Delete limit exceeded","Delete limit exceeded",
"AccountAndSyncSettings.apk","sync_really_delete","Delete the items.","Delete the items.",
"AccountAndSyncSettings.apk","disable_mitalk_dialog_title","Disable MiTalk sync","Disable MiTalk sync",
"AccountAndSyncSettings.apk","background_data_dialog_message","Disabling background data extends battery life and lowers data use. Some applications may still use the background data connection.","Si inhabilitas los datos, aumentarás la duración de la batería y reducirás el uso de datos. Es posible que algunas aplicaciones sigan utilizando la conexión de datos de referencia.",
"AccountAndSyncSettings.apk","sync_do_nothing","Do nothing for now.","No hacer nada, por ahora",
"AccountAndSyncSettings.apk","really_remove_account_message","Do you really want to remove this account? Removing it will also delete all of its messages, contacts, and other data from the phone. \nProceed?","¿Deseas eliminar realmente esta Cuenta? Si la eliminas, se eliminarán también todos los mensajes, los contactos y otros datos del teléfono. \n¿Quieres continuar?",
"AccountAndSyncSettings.apk","user_email","Email","Email",
"AccountAndSyncSettings.apk","user_email_format_error","E-mail address contains invalid characters","formato de email incorrecto",
"AccountAndSyncSettings.apk","user_email_description","E-mail address for login and account recovery","Email para login y recuperación de cuentas",
"AccountAndSyncSettings.apk","email_not_verified","E-mail unverified","Email no verificado",
"AccountAndSyncSettings.apk","enable_mitalk_dialog_title","Enable MiTalk sync","Activar Sync",
"AccountAndSyncSettings.apk","finish_button_label","Finish","Finalizar",
"AccountAndSyncSettings.apk","header_general_sync_settings","General sync settings","Ajustes de Sincronización General",
"AccountAndSyncSettings.apk","sync_gmail","Gmail","Gmail",
"AccountAndSyncSettings.apk","user_email_hint","Input your E-mail address here","introduce tu email aquí",
"AccountAndSyncSettings.apk","user_nickname_hint","Input your nickname here","Introduce tu apodo aquí",
"AccountAndSyncSettings.apk","user_phone_hint","Input your phone number here","introduce tu teléfono aquí",
"AccountAndSyncSettings.apk","logoff_account_label","Log off","Cierre la sesión",
"AccountAndSyncSettings.apk","header_manage_accounts","Manage accounts","Administrar cuentas",
"AccountAndSyncSettings.apk","user_mitalk_sync_title","MiTalk","Sincronización MiTalk",
"AccountAndSyncSettings.apk","user_mitalk_sync_summary","MiTalk allows you to send messages, pictures and chat with friends","Acceder a MiTalk usando la cuenta actual",
"AccountAndSyncSettings.apk","user_detail","My Card","Mi perfil",
"AccountAndSyncSettings.apk","network_error","Network connection error","Error de conexión de red",
"AccountAndSyncSettings.apk","user_nickname","Nickname","Apodo",
"AccountAndSyncSettings.apk","nickname_exist","Nickname already exists","El apodo ya existe",
"AccountAndSyncSettings.apk","user_nickname_description","Nickname will be used for various Xiaomi services","El apodo se usara para varios servicios Xiaomi",
"AccountAndSyncSettings.apk","bind_dialog_button","OK","Acepto",
"AccountAndSyncSettings.apk","user_phone","Phone","Teléfono",
"AccountAndSyncSettings.apk","user_phone_format_error","Phone number contains invalid characters","Formato de número incorrecto",
"AccountAndSyncSettings.apk","user_phone_description","Phone number for login and account recovery","Número de teléfono para login y recuperación de cuentas",
"AccountAndSyncSettings.apk","provider_label","Push subscriptions","Enviar suscripciones",
"AccountAndSyncSettings.apk","remove_account_label","Remove account","Eliminar Cuenta",
"AccountAndSyncSettings.apk","really_remove_account_title","Remove account","Eliminar Cuenta",
"AccountAndSyncSettings.apk","xiaomi_remove_account_title","Remove Xiaomi account","Eliminar cuenta Xiaomi",
