"ApkName","FieldName","OriginalText","TranslatedText",
"AccountAndSyncSettings.apk","has_nick","Account already has a nickname","Votre compte a déjà un pseudo associé",
"AccountAndSyncSettings.apk","app_label","Account and Sync Settings","Fiók- és szinkronizálási beállítások",
"AccountAndSyncSettings.apk","account_deleted","Account deleted","Fiók törölve",
"AccountAndSyncSettings.apk","account_disabled","Account has been banned","Fiók tiltva",
"AccountAndSyncSettings.apk","user_id","Account ID","Fiók ID",
"AccountAndSyncSettings.apk","header_account_settings","Account settings","Fiókbeállítások",
"AccountAndSyncSettings.apk","sync_settings","Accounts & Sync Settings","Fiókok és szinkronizálás beállításai",
"AccountAndSyncSettings.apk","add_account_label","Add account","Fiók hozzáadása",
"AccountAndSyncSettings.apk","header_add_an_account","Add an account","Fiók hozzáadása",
"AccountAndSyncSettings.apk","has_bound","Already exists","Le pseudo est déjà utilisé",
"AccountAndSyncSettings.apk","header_application_sync_settings","Application sync settings","Alkalmazásszinkronizálási beállítások",
"AccountAndSyncSettings.apk","background_data_summary","Applications can sync, send, and receive data at any time","Az alkalmazások bármikor szinkronizálhatnak, küldhetnek és fogadhatnak adatokat",
"AccountAndSyncSettings.apk","sync_automatically_summary","Applications sync data automatically","Az alkalmazások automatikusan szinkronizálják az adatokat",
"AccountAndSyncSettings.apk","background_data_dialog_title","Attention","Figyelem",
"AccountAndSyncSettings.apk","sync_automatically","Auto-sync","Automatikus szinkronizálás",
"AccountAndSyncSettings.apk","settings_backup_summary","Back up my settings","Biztonsági másolat készítése a beállításaimról",
"AccountAndSyncSettings.apk","settings_backup","Back up settings","Biztonsági másolat készítése a beállításokról",
"AccountAndSyncSettings.apk","background_data","Background data","Háttéradatok",
"AccountAndSyncSettings.apk","bind_dialog_button","Bind","Megerősít",
"AccountAndSyncSettings.apk","bind_email_dialog_title","Bind e-mail","E-mail megerősítés",
"AccountAndSyncSettings.apk","user_email_title","Bind E-mail address","Kapcsolódási email cím",
"AccountAndSyncSettings.apk","user_nickname_title","Bind nickname","Associer un pseudo",
"AccountAndSyncSettings.apk","user_phone_title","Bind phone number","Telefonszám",
"AccountAndSyncSettings.apk","bind_phone_dialog_title","Binding phone","Telefon megerősítés",
"AccountAndSyncSettings.apk","sync_calendar","Calendar","Naptár",
"AccountAndSyncSettings.apk","sync_menu_sync_cancel","Cancel sync","Szinkronizálás megszakítása",
"AccountAndSyncSettings.apk","cant_sync_dialog_title","Cannot manually sync","Nem lehet kézi vezérléssel szinkronizálni",
"AccountAndSyncSettings.apk","preference_change_password_title","Change password","Jelszó módosítása",
"AccountAndSyncSettings.apk","sync_contacts","Contacts","Névjegyek",
"AccountAndSyncSettings.apk","header_data_and_synchronization","Data & synchronization","Adatok és szinkronizálás",
"AccountAndSyncSettings.apk","header_manage_default_accounts","Default account","Alapértelmezett fiók",
"AccountAndSyncSettings.apk","sync_too_many_deletes","Delete limit exceeded","A szinkronizálás elérte a törlésre vonatkozó korlátot",
"AccountAndSyncSettings.apk","sync_really_delete","Delete the items.","Az elemek törlése.",
"AccountAndSyncSettings.apk","disable_mitalk_dialog_title","Disable MiTalk synchronization","MiTalk szinkron tiltása",
"AccountAndSyncSettings.apk","background_data_dialog_message","Disabling background data extends battery life and lowers data use. Some applications may still use the background data connection.","A háttéradatok letiltásával növelheti az akkumulátor élettartamát és csökkentheti az adathasználatot. Egyes alkalmazások azonban továbbra is használhatják a háttérben zajló adatkapcsolatot.",
"AccountAndSyncSettings.apk","disable_mitalk_dialog_message","Disabling MiTalk will mean not to be able to chat directly and sync MiTalk contacts, confirm you want to close the chat and contacts synchronization?","MiTalk szinkront letiltotta, így nem tud küldeni és fogadni üzeneteket, biztos benne?",
"AccountAndSyncSettings.apk","sync_do_nothing","Do nothing for now.","Most nem.",
"AccountAndSyncSettings.apk","really_remove_account_message","Do you really want to log off this account? Logging off will also delete all of its messages, contacts, and other data from the phone. \nProceed?","Valóban törli ezt a fiókot? Ha eltávolítja, akkor vele együtt törli az üzeneteit, a névjegyeit, valamint a telefonon lévő többi vele kapcsolatos adatot. \nFolytatja?",
"AccountAndSyncSettings.apk","user_email","Email","Email",
"AccountAndSyncSettings.apk","user_email_description","E-mail address for login and account recovery","Bejelentkezési email cím és helyreállítási fiók",
"AccountAndSyncSettings.apk","user_email_format_error","Email address format is incorrect","E-mail cím érvénytelen karaktereket tartalmaz",
"AccountAndSyncSettings.apk","email_not_verified","Email has not been verified","Nem ellenőrzött Email",
"AccountAndSyncSettings.apk","finish_button_label","Finish","Befejezés",
"AccountAndSyncSettings.apk","header_general_sync_settings","General sync settings","Általános szinkronizálási beállítások",
"AccountAndSyncSettings.apk","sync_gmail","Gmail","Gmail",
"AccountAndSyncSettings.apk","user_email_hint","Input your E-mail address here","Írja be az email címét",
"AccountAndSyncSettings.apk","user_nickname_hint","Input your nickname here","Entrez le pseudo choisi ici",
"AccountAndSyncSettings.apk","user_phone_hint","Input your phone number here","Írja be a telefonszámát",
"AccountAndSyncSettings.apk","logoff_account_label","Log off","Déconnection",
"AccountAndSyncSettings.apk","really_remove_account_title","Log off account","Fiók eltávolítása",
"AccountAndSyncSettings.apk","header_manage_accounts","Manage accounts","Fiókok kezelése",
"AccountAndSyncSettings.apk","enable_mitalk_dialog_message","MiTalk account and the current system account are conflicting, the data will be cleared and use MiTalk as default. Synchronize MiTalk?","Engedélyezi hogy a MiTalk fogadjon üzeneteket barátoktól?",
"AccountAndSyncSettings.apk","terms_not_agreed","Must agree to the terms of MIUI","El kell fogania a MIUI szabályzatot",
"AccountAndSyncSettings.apk","user_detail","My Card","Névjegykártya",
"AccountAndSyncSettings.apk","network_error","Network connection error","Hálózati hiba",
"AccountAndSyncSettings.apk","user_nickname","Nickname","Becenév",
"AccountAndSyncSettings.apk","nickname_exist","Nickname already exists","Le pseudo choisi est déjà utilisé",
"AccountAndSyncSettings.apk","user_nickname_description","Nickname will be used for various Xiaomi services","Le pseudo associé sera utilisé pour tous les services Xiaomi",
"AccountAndSyncSettings.apk","user_phone","Phone","Telefon",
"AccountAndSyncSettings.apk","user_phone_description","Phone number for login and account recovery","Telefonszám és helyreállítási fiók",
"AccountAndSyncSettings.apk","user_phone_format_error","Phone number format is incorrect","Telefonszám érvénytelen karaktereket tartalmaz",
"AccountAndSyncSettings.apk","provider_label","Push subscriptions","Feliratkozások továbbítása",
"AccountAndSyncSettings.apk","bad_verification","Registration information format error","Regisztációs forma hiba",
"AccountAndSyncSettings.apk","remove_account_label","Remove account","Fiók eltávolítása",
"AccountAndSyncSettings.apk","xiaomi_remove_account_title","Remove Xiaomi account","Fiók törlése",
"AccountAndSyncSettings.apk","xiaomi_remove_account_message","Removing this account will also delete Xiaomi service data, Market and MiTalk applications (Contacts, SMS and Call logs are retained), are you sure you want to remove?","Fiók törlése érinti a MiTalk és Online mentési adatokat. Nem érinti a névjegyeket, üzeneteket, híváslistát. Biztos benne hogy törli?",
"AccountAndSyncSettings.apk","sending_bind_request","Sending request","Kérés elküldve",
"AccountAndSyncSettings.apk","service_disabled","Service has been stopped","Szolgáltatás tiltva",
"AccountAndSyncSettings.apk","service_unavailable","Service unavailable","Szolgáltatás nem elérhető",
"AccountAndSyncSettings.apk","sync_item_title","Sync %s","%s szinkronizálása",
"AccountAndSyncSettings.apk","sync_error","Sync error","Szinkronizálási hiba",
"AccountAndSyncSettings.apk","cant_sync_dialog_message","Sync for this item is currently disabled. To change your preference, temporarily turn on background data and automatic sync.","Ennek az elemnek a szinkronizálása jelenleg le van tiltva. Preferenciái módosításához ideiglenesen kapcsolja be a háttéradatokat és az automatikus szinkronizálást.",
"AccountAndSyncSettings.apk","sync_is_failing","Sync is currently experiencing problems. It will be back shortly.","A szinkronizálással jelenleg gondok vannak; hamarosan újra működni fog.",
"AccountAndSyncSettings.apk","sync_disabled","Sync is OFF","Szinkronizálás kikapcsolva",
"AccountAndSyncSettings.apk","sync_enabled","Sync is ON","Szinkronizálás bekapcsolva",
"AccountAndSyncSettings.apk","sync_menu_sync_now","Sync now","Szinkronizálás most",
"AccountAndSyncSettings.apk","enable_mitalk_dialog_title","Synchronizing","MiTalk szinkron engedélyezése",
"AccountAndSyncSettings.apk","user_mitalk_sync_title","Synchronous MiTalk","MiTalk szinkron",
"AccountAndSyncSettings.apk","sync_too_many_deletes_desc","There are %1$d deleted items for %2$s, account %3$s. What would you like to do?","%1$d törölt elem van a(z) %2$s szinkronizálásánál, a(z) %3$s fiókban. Mit kíván tenni?",
"AccountAndSyncSettings.apk","remove_account_failed","This account is required by some applications. You can only remove it by resetting the phone to factory defaults (which deletes all your personal data). You do that in the Settings application, under Privacy.","Erre a fiókra szüksége van néhány alkalmazásnak. Csak úgy távolíthatja el, hogy visszaállítja az alapértelmezett gyári beállításokat (amivel törli az összes személyes adatát). Ezt a Beállítások között, az Adatvédelem alatt teheti meg.",
"AccountAndSyncSettings.apk","bad_token","Token error","token hiba",
"AccountAndSyncSettings.apk","sync_one_time_sync","Touch to sync now\n%1$s","Érintse meg az azonnali szinkronizáláshoz\n%1$s",
"AccountAndSyncSettings.apk","user_unbind","Unbind","kiold",
"AccountAndSyncSettings.apk","sync_undo_deletes","Undo the deletes.","Törlés visszavonása.",
"AccountAndSyncSettings.apk","unknown","Unknown error","Ismeretlen",
"AccountAndSyncSettings.apk","user_mitalk_sync_summary","Use MiTalk as the current account to login, chat to contacts and use voice chat, enjoy unlimited messages, and sharing pictures for free","Használja a jelenlegi fiókját a chat-hez, hanghíváshoz, üzenethez valamint képküldéshez.",
"AccountAndSyncSettings.apk","registered_account","User name registered","Felhasználónév már foglalt",
"AccountAndSyncSettings.apk","bad_authentication","Username password do not match","Felhasználói jelszó nem egyezik",
"AccountAndSyncSettings.apk","user_email_button_verify","Verification","ellenőrzés",
"AccountAndSyncSettings.apk","user_nickname_button_verify","Verification","Vérification",
"AccountAndSyncSettings.apk","user_phone_button_verify","Verification","ellenőrzés",
"AccountAndSyncSettings.apk","xiaomi_account","Xiaomi Account","Compte Xiaomi",
"AccountAndSyncSettings.apk","bind_email_dialog_message","You will receive an e-mail for verification of the account, please login to your e-mail and click the link to confirm binding","Kapni fog egy visszaigazoló Email-t egy ellenőrző kóddal, avval érvényesítheti a fiókját",
"AccountAndSyncSettings.apk","bind_phone_dialog_message","Your phone will receive a text message to validate the account, please click the confirmation link within the message","Kapni fog egy visszaigazoló SMS-t egy ellenőrző kóddal, avval érvényesítheti a fiókját",
"AntiSpam.apk","fw_add_keyword_existing","%s keyword already exists","Kulcsszó: %s már létezik",
"AntiSpam.apk","opt_accept_whitelist","Accept whitelisted","Fehérlista alapján",
"AntiSpam.apk","add_button","Add","Hozzáad",
"AntiSpam.apk","context_add_contact","Add Contact","Névjegy hozzáadása",
"AntiSpam.apk","fw_add_keyword","Add keyword","Szavak hozzáadása",
"AntiSpam.apk","fw_menu_new_manual","Add number","Telefonszám hozzáadása",
"AntiSpam.apk","fw_menu_new_blacklist_title","Add to blacklist","Hozzáadás a Feketelistához",
"AntiSpam.apk","add_whitelist","Add to whitelist","Fehérlistához adás",
"AntiSpam.apk","fw_menu_new_whitelist_title","Add to whitelist","Hozzáadás a Fehérlistához",
"AntiSpam.apk","fw_import_blacklist","Adding blacklist...","Importer une liste noire",
"AntiSpam.apk","fw_import_whitelist","Adding whitelist...","Importer une liste blanche",
"AntiSpam.apk","fw_advanced_settings","Advanced settings","Speciális beállítások",
"AntiSpam.apk","fw_all_day","All day","Egész nap",
"AntiSpam.apk","fw_no_effect","Anti-disturb feature is not turned on. You need to enable the feature. Continue?","A védett üzemmód nincs engedélyezve. Folytatja?",
"AntiSpam.apk","fw_on","Anti-disturb is turned ON","Védett üzemmód bekapcsolva",
"AntiSpam.apk","anti_stranger_title","Anti-stranger","Ismeretlen-ellenes mód",
"AntiSpam.apk","add_blacklist","Blacklist","Feketelistához adás",
"AntiSpam.apk","fw_blacklist","Blacklist","Feketelista",
"AntiSpam.apk","fw_blacklist_hint","Blacklisted numbers will be blocked on calls and text messages","BA hívások és az üzenetek automatikusan blokkolva lesznek, ha hozzáadja a Feketelistához",
"AntiSpam.apk","anti_stranger_summary","Block calls from callers not in contact list","A névjegyzékben nem szereplő számok szűrve lesznek",
"AntiSpam.apk","fw_blocked_count","Blocked %d Calls %d SMS","Blokkolva %d Hívások %d SMS",
"AntiSpam.apk","act_call","Blocked calls options","Hívás naplózása",
"AntiSpam.apk","act_hangup_call_summary","Blocked calls using this option will not appear in call logs","A blokkolt hívások nem jelennek meg hívás listában",
"AntiSpam.apk","act_ms","Blocked messages options","Üzenetek naplózása",
"AntiSpam.apk","act_del_ms_summary","Blocked messages using this option will not appear in messages logs","Az elutasított üzenetek nem jelennek meg",
"AntiSpam.apk","member_firewall_log","Blocked: Calls: %d Messages: %d","Blokkolva: telefon %d információ %d",
"AntiSpam.apk","black_white_list_tab_title","Blocking","Listák",
"AntiSpam.apk","fw_action_settings","Blocking actions","Tűzfal beállítások",
"AntiSpam.apk","fw_blocked","Blocking is turned ON","Bokkolás bekapcsolvaN",
"AntiSpam.apk","firewall_settings","Blocking settings","Elutasítási beállítások",
"AntiSpam.apk","fw_pattern_settings","Blocking settings","Tűzfal viselkedése",
"AntiSpam.apk","fw_time_settings","Blocking time","Blokkolási idő",
"AntiSpam.apk","context_call","Call","Hívás",
"AntiSpam.apk","fw_call","Call blocked: %s (%d)","Hívás elutasítva: %s (%d)",
"AntiSpam.apk","calllog","Call log","Híváslista",
"AntiSpam.apk","call_log_tab_title","Calls","Hívások",
"AntiSpam.apk","fw_call_rejected","Calls blocked","Hívások elutasítva",
"AntiSpam.apk","fw_call_muted","Calls muted","Hívások némítva",
"AntiSpam.apk","emptylist_fwlog_call","Calls will be log when the firewall feature is turned ON","A blokkolt hívások itt lesznek naplózva",
"AntiSpam.apk","no","Cancel","Mégse",
"AntiSpam.apk","cancel_button","Cancel","Mégse",
"AntiSpam.apk","check_all","Check all","Ellenőrzés mind",
