"ApkName","FieldName","OriginalText","TranslatedText",
"AccountAndSyncSettings.apk","has_nick","Account already has a nickname","Account heeft al een alias",
"AccountAndSyncSettings.apk","app_label","Account and Sync Settings","Account- en synchronisatie instellingen",
"AccountAndSyncSettings.apk","account_deleted","Account has been deleted","Account is verwijderd",
"AccountAndSyncSettings.apk","account_disabled","Account has been disabled","Account is uitgeschakeld",
"AccountAndSyncSettings.apk","user_id","Account ID","Account ID",
"AccountAndSyncSettings.apk","header_account_settings","Account settings","Accountinstellingen",
"AccountAndSyncSettings.apk","sync_settings","Accounts & sync settings","Account- en synchronisatie instellingen",
"AccountAndSyncSettings.apk","add_account_label","Add account","Account toevoegen",
"AccountAndSyncSettings.apk","header_add_an_account","Add an account","Een account toevoegen",
"AccountAndSyncSettings.apk","has_bound","Already exists","Bestaal al",
"AccountAndSyncSettings.apk","header_application_sync_settings","Application sync settings","Synchronisatie-instellingen app",
"AccountAndSyncSettings.apk","background_data_summary","Applications can sync, send, and receive data at any time","Onbeperkt gegevens synchroniseren, verzenden en ontvangen",
"AccountAndSyncSettings.apk","sync_automatically_summary","Applications sync data automatically","Apps kunnen gegevens automatisch synchroniseren",
"AccountAndSyncSettings.apk","background_data_dialog_title","Attention","Let op",
"AccountAndSyncSettings.apk","bad_authentication","Authentication failed, bad username or password supplied","Authenticatie mislukt, wachtwoord of gebruikersnaam verkeerd",
"AccountAndSyncSettings.apk","sync_automatically","Auto-sync","Auto-synchronisatie",
"AccountAndSyncSettings.apk","settings_backup_summary","Back up my settings","Back-up maken van mijn instellingen",
"AccountAndSyncSettings.apk","settings_backup","Back up settings","Back-up van instellingen maken",
"AccountAndSyncSettings.apk","background_data","Background data","Achtergrondgegevens",
"AccountAndSyncSettings.apk","bad_token","Bad token","Foute controle",
"AccountAndSyncSettings.apk","bind_email_dialog_title","Bind E-mail","Verbind Email",
"AccountAndSyncSettings.apk","user_email_title","Bind E-mail address","Verbind Email adres",
"AccountAndSyncSettings.apk","user_nickname_title","Bind nickname","Verbind Alias",
"AccountAndSyncSettings.apk","bind_phone_dialog_title","Bind phone","Verbind telefoon",
"AccountAndSyncSettings.apk","user_phone_title","Bind phone number","Verbind telefoon",
"AccountAndSyncSettings.apk","sync_calendar","Calendar","Agenda",
"AccountAndSyncSettings.apk","sync_menu_sync_cancel","Cancel sync","Synchronisatie annuleren",
"AccountAndSyncSettings.apk","cant_sync_dialog_title","Cannot manually sync","Kan niet handmatig synchroniseren",
"AccountAndSyncSettings.apk","preference_change_password_title","Change password","Wachtwoord wijzigen",
