"ApkName","FieldName","OriginalText","TranslatedText",
"AccountAndSyncSettings.apk","has_nick","Account already has a nickname","Konto już posiada pseudonim",
"AccountAndSyncSettings.apk","app_label","Account and Sync Settings","Konta i synchronizacja",
"AccountAndSyncSettings.apk","account_deleted","Account has been deleted","Konto zostało usunięte",
"AccountAndSyncSettings.apk","account_disabled","Account has been disabled","Konto zostało zbanowane",
"AccountAndSyncSettings.apk","user_id","Account ID","ID Konta",
"AccountAndSyncSettings.apk","header_account_settings","Account settings","Ustawienia konta",
"AccountAndSyncSettings.apk","sync_settings","Accounts & sync settings","Ustawienia kont i synchronizacji",
"AccountAndSyncSettings.apk","add_account_label","Add account","Dodaj konto",
"AccountAndSyncSettings.apk","header_add_an_account","Add an account","Dodaj konto",
"AccountAndSyncSettings.apk","has_bound","Already exists","Już istnieje",
"AccountAndSyncSettings.apk","header_application_sync_settings","Application sync settings","Synchronizacja aplikacji",
"AccountAndSyncSettings.apk","background_data_summary","Applications can sync, send, and receive data at any time","Aplikacje mogą synchronizować, wysyłać i odbierać dane w dowolnej chwili",
"AccountAndSyncSettings.apk","sync_automatically_summary","Applications sync data automatically","Automatycznie synchronizuj dane",
"AccountAndSyncSettings.apk","background_data_dialog_title","Attention","Uwaga",
"AccountAndSyncSettings.apk","bad_authentication","Authentication failed, bad username or password supplied","Nazwa użytkownika i hasło nie pasują",
"AccountAndSyncSettings.apk","sync_automatically","Auto-sync","Auto-synchronizacja",
"AccountAndSyncSettings.apk","settings_backup_summary","Back up my settings","Wykonaj kopię zapasową ustawień",
"AccountAndSyncSettings.apk","settings_backup","Back up settings","Wykonaj kopię zapasową ustawień",
"AccountAndSyncSettings.apk","background_data","Background data","Dane w tle",
"AccountAndSyncSettings.apk","bad_token","Bad token","Błąd tokena",
"AccountAndSyncSettings.apk","bind_email_dialog_title","Bind E-mail","Bind e-mail",
"AccountAndSyncSettings.apk","user_email_title","Bind E-mail address","Powiąż adres email",
"AccountAndSyncSettings.apk","user_nickname_title","Bind nickname","Powiąż pseudonim",
"AccountAndSyncSettings.apk","bind_phone_dialog_title","Bind phone","Powiązanie telefonu",
"AccountAndSyncSettings.apk","user_phone_title","Bind phone number","Powiąż numer telefonu",
"AccountAndSyncSettings.apk","sync_calendar","Calendar","Kalendarz",
"AccountAndSyncSettings.apk","sync_menu_sync_cancel","Cancel sync","Anuluj synchronizację",
"AccountAndSyncSettings.apk","cant_sync_dialog_title","Cannot manually sync","Nie można zsynchronizować ręcznie",
"AccountAndSyncSettings.apk","preference_change_password_title","Change password","Zmień hasło",
"AccountAndSyncSettings.apk","sync_contacts","Contacts","Kontakty",
"AccountAndSyncSettings.apk","header_data_and_synchronization","Data & synchronization","Dane i synchronizacja",
"AccountAndSyncSettings.apk","header_manage_default_accounts","Default accounts","Konto domyślne",
"AccountAndSyncSettings.apk","sync_too_many_deletes","Delete limit exceeded","Przekroczono limit usuwania",
"AccountAndSyncSettings.apk","sync_really_delete","Delete the items.","Usuń elementy.",
"AccountAndSyncSettings.apk","disable_mitalk_dialog_title","Disable MiTalk sync","Disable MiTalk synchronization",
"AccountAndSyncSettings.apk","background_data_dialog_message","Disabling background data extends battery life and lowers data use. Some applications may still use the background data connection.","Wyłączenie funkcji danych w tle pozwala przedłużyć żywotność baterii i obniża poziom wykorzystania danych. Niektóre aplikacje mogą wciąż korzystać z połączenia danych w tle.",
"AccountAndSyncSettings.apk","sync_do_nothing","Do nothing for now.","Na razie nie podejmuj żadnych działań.",
"AccountAndSyncSettings.apk","really_remove_account_message","Do you really want to log off this account? Logging off will also delete all of its messages, contacts, and other data from the phone. \nProceed?",""Czy na pewno chcesz usunąć to konto? Jego usunięcie spowoduje także usunięcie wszystkich związanych z nim wiadomości, kontaktów i innych danych z telefonu. 
Kontynuować?"",
"AccountAndSyncSettings.apk","user_email","Email","Email",
"AccountAndSyncSettings.apk","user_email_format_error","E-mail address contains invalid characters","Format adresu email jest nieprawidłowy",
"AccountAndSyncSettings.apk","user_email_description","E-mail address for login and account recovery","Adres email posłuży do odzyskania danych logowania i konta",
"AccountAndSyncSettings.apk","email_not_verified","E-mail unverified","Email nie został zweryfikowany",
"AccountAndSyncSettings.apk","enable_mitalk_dialog_title","Enable MiTalk sync","Synchronizing",
"AccountAndSyncSettings.apk","finish_button_label","Finish","Zakończ",
"AccountAndSyncSettings.apk","header_general_sync_settings","General sync settings","Ogólne ustawienia synchronizacji",
"AccountAndSyncSettings.apk","sync_gmail","Gmail","Gmail",
"AccountAndSyncSettings.apk","user_email_hint","Input your E-mail address here","Wpisz adres email",
"AccountAndSyncSettings.apk","user_nickname_hint","Input your nickname here","Wprowadź pseudonim",
"AccountAndSyncSettings.apk","user_phone_hint","Input your phone number here","Wpisz numer telefonu",
"AccountAndSyncSettings.apk","logoff_account_label","Log off","Wyloguj",
"AccountAndSyncSettings.apk","really_remove_account_title","Log off account","Usuń konto",
"AccountAndSyncSettings.apk","header_manage_accounts","Manage accounts","Zarządzanie kontami",
"AccountAndSyncSettings.apk","user_mitalk_sync_title","MiTalk","Synchronizuj MiTalk",
"AccountAndSyncSettings.apk","user_mitalk_sync_summary","MiTalk allows you to send messages, pictures and chat with friends","Zaloguj do MiTalk by synchronizować kontakty, wiadomości i prowadzić chat",
"AccountAndSyncSettings.apk","user_detail","My Card","Moja karta",
"AccountAndSyncSettings.apk","network_error","Network connection error","Błąd połączenia",
"AccountAndSyncSettings.apk","user_nickname","Nickname","Pseudonim",
"AccountAndSyncSettings.apk","nickname_exist","Nickname already exists","Pseudonim już istnieje",
"AccountAndSyncSettings.apk","user_nickname_description","Nickname will be used for various Xiaomi services","Pseudonim będzie używany w różnych usługach Xiaomi",
"AccountAndSyncSettings.apk","bind_dialog_button","OK","Bind",
"AccountAndSyncSettings.apk","user_phone","Phone","Telefon",
"AccountAndSyncSettings.apk","user_phone_format_error","Phone number contains invalid characters","Format numeru telefonu jest nieprawidłowy",
"AccountAndSyncSettings.apk","user_phone_description","Phone number for login and account recovery","Numer telefonu posłuży do odzyskania danych logowania i konta",
"AccountAndSyncSettings.apk","provider_label","Push subscriptions","Wyślij subskrypcje przez push",
"AccountAndSyncSettings.apk","remove_account_label","Remove account","Usuń konto",
"AccountAndSyncSettings.apk","xiaomi_remove_account_title","Remove Xiaomi account","Usuń konto",
"AccountAndSyncSettings.apk","xiaomi_remove_account_message","Removing this account will also delete Xiaomi service data, Market and MiTalk applications (Contacts, SMS and Call logs are retained), are you sure you want to remove?","Deleting this account will also remove Millet service data, including Application Supermarket, M talk, etc. (Contacts, SMS, call log is retained). Are you sure to delete?",
"AccountAndSyncSettings.apk","sending_bind_request","Request has been sent","Wysyłanie żądania",
"AccountAndSyncSettings.apk","service_unavailable","Service currently unavailable","Usługa niedostępna",
"AccountAndSyncSettings.apk","service_disabled","Service has been disabled","Usługa zatrzymana",
"AccountAndSyncSettings.apk","sync_item_title","Sync %s","Synchronizuj %s",
"AccountAndSyncSettings.apk","sync_error","Sync error","Błąd synchronizacji",
"AccountAndSyncSettings.apk","cant_sync_dialog_message","Sync for this item is currently disabled. To change your preference, temporarily turn on background data and automatic sync.","Synchronizacja jest aktualnie wyłączona dla tego elementu. Aby zmienić preferencję, włącz tymczasowo dane w tle i synchronizację automatyczną.",
"AccountAndSyncSettings.apk","sync_is_failing","Sync is currently experiencing problems. It will be back shortly.","Aktualnie występują problemy z synchronizacją. Prosimy o cierpliwość.",
"AccountAndSyncSettings.apk","sync_disabled","Sync is OFF","Synchronizacja nieaktywna.",
"AccountAndSyncSettings.apk","sync_enabled","Sync is ON","Synchronizacja aktywna.",
"AccountAndSyncSettings.apk","sync_menu_sync_now","Sync now","Synchronizuj teraz",
"AccountAndSyncSettings.apk","sync_too_many_deletes_desc","There are %1$d deleted items for %2$s, account %3$s. What would you like to do?","Znaleziono %1$d usuniętych elementów dla %2$s, konto %3$s. Co chcesz teraz zrobić?",
"AccountAndSyncSettings.apk","remove_account_failed","This account is required by some applications. You can only remove it by resetting the phone to factory defaults (which deletes all your personal data). You do that in the Settings application, under Privacy.","Niektóre aplikacje wymagają posiadania tego konta. Przywrócenie danych fabrycznych jest jedynym sposobem usunięcia tych danych (ta czynność skutkuje usunięciem wszystkich danych osobistych). Znajdziesz stosowną funkcję w Ustawieniach, w obszarze SD i pamięć telefonu.",
"AccountAndSyncSettings.apk","sync_one_time_sync","Touch to sync now\n%1$s",""Wybierz, aby zsynchronizować wszystko
%1$s"",
"AccountAndSyncSettings.apk","user_unbind","unbind","unbind",
"AccountAndSyncSettings.apk","sync_undo_deletes","Undo the deletes.","Przywróć usunięte elementy.",
"AccountAndSyncSettings.apk","unknown","Unknown error occurred","Nieznany błąd",
"AccountAndSyncSettings.apk","registered_account","Username has been registered","ID użytkownika zarejestrowane",
"AccountAndSyncSettings.apk","user_phone_button_verify","Verification","Weryfikacja",
"AccountAndSyncSettings.apk","user_email_button_verify","Verification","Weryfikacja",
"AccountAndSyncSettings.apk","user_nickname_button_verify","Verification","Weryfikacja",
"AccountAndSyncSettings.apk","bad_verification","Verification has failed","Informacje rejestracyjne nie pasują",
"AccountAndSyncSettings.apk","enable_mitalk_dialog_message","Will log in MiTalk with system account. If it is inconsistent with current MiTalk ID, your data will be cleared. Are you sure?","MiTalk account and the current system account are conflicting, the data will be cleared and use MiTalk as default. Synchronize MiTalk?",
"AccountAndSyncSettings.apk","xiaomi_account","Xiaomi Account","Konto Xiaomi",
"AccountAndSyncSettings.apk","terms_not_agreed","You must agree to the terms and conditions","Musisz zgodzić się na warunki MIUI",
"AccountAndSyncSettings.apk","disable_mitalk_dialog_message","You will not be able to chat with your MiTalk friends via Contacts, are you sure you want to close it? (You may change or cancel account in Settings of MiTalk)","Disabling MiTalk will mean not to be able to chat directly and sync MiTalk contacts, confirm you want to close the chat and contacts synchronization?",
"AccountAndSyncSettings.apk","bind_email_dialog_message","You will receive an E-mail confirmation with a verification code to validate your account","You will receive an e-mail for verification of the account, please login to your e-mail and click the link to confirm binding",
"AccountAndSyncSettings.apk","bind_phone_dialog_message","You will receive an SMS confirmation with a verification code to validate your account","Your phone will receive a text message to validate the account, please click the confirmation link within the message",
"AntiSpam.apk","act_mute_ms_summary","不响铃不振动，但依然在短信会话中","Bez powiadomień i wibracji. Wiadomości zostaną zapisane w rejestrze otrzymanych wiadomości",
"AntiSpam.apk","act_mute_call_summary","不响铃不振动，但依然在通话记录中","Bez powiadomień i wibracji. Połączenia zostaną zapisane w rejestrze połączeń",
"AntiSpam.apk","act_ignore_ms","不拦截","Domyślnie",
"AntiSpam.apk","act_action_accept_accept","不拦截","Domyślnie",
"AntiSpam.apk","act_ignore_call","不拦截","Domyślnie",
"AntiSpam.apk","fw_menu_pick_from_contact","从通话和联系人中选择...","Wybierz z kontaktów...",
"AntiSpam.apk","save_button","保存","Zapisz",
"AntiSpam.apk","edit_whitelist","修改备注","Edytuj białą listę",
"AntiSpam.apk","edit_blacklist","修改备注","Edytuj czarną listę",
"AntiSpam.apk","check_nothing","全不选","Wyczyść wszystko",
"AntiSpam.apk","fw_all_day","全天拦截","Cały dzień",
"AntiSpam.apk","check_all","全选","Zaznacz wszystko",
"AntiSpam.apk","fw_add_keyword_existing","关键词: %s 已经存在","Słowo kluczowe %s już istnieje",
"AntiSpam.apk","fw_menu_remove","删除","Usuń",
"AntiSpam.apk","context_ms","发短信","Wyślij SMS / MMS",
"AntiSpam.apk","cancel_button","取消","Anuluj",
"AntiSpam.apk","no","取消","Anuluj",
