"ApkName","FieldName","OriginalText","TranslatedText",
"AccountAndSyncSettings.apk","has_nick","Account already has a nickname","A conta já tem um nome do utilizador",
"AccountAndSyncSettings.apk","app_label","Account and Sync Settings","Definições de conta e sincronização",
"AccountAndSyncSettings.apk","account_deleted","Account has been deleted","Conta Apagada",
"AccountAndSyncSettings.apk","account_disabled","Account has been disabled","Conta desactivada",
"AccountAndSyncSettings.apk","user_id","Account ID","ID da Conta",
"AccountAndSyncSettings.apk","header_account_settings","Account settings","Configuração de Conta",
"AccountAndSyncSettings.apk","sync_settings","Accounts & sync settings","Contas e configurações de sincronização",
"AccountAndSyncSettings.apk","add_account_label","Add account","Adicionar Conta",
"AccountAndSyncSettings.apk","header_add_an_account","Add an account","Adicionar uma conta",
"AccountAndSyncSettings.apk","has_bound","Already exists","Já existe",
"AccountAndSyncSettings.apk","header_application_sync_settings","Application sync settings","Configurações de sincronização do programa",
"AccountAndSyncSettings.apk","background_data_summary","Applications can sync, send, and receive data at any time","Os programas podem sincronizar, enviar e receber dados a qualquer momento",
"AccountAndSyncSettings.apk","sync_automatically_summary","Applications sync data automatically","Aplicações sincronizam dados automaticamente",
"AccountAndSyncSettings.apk","background_data_dialog_title","Attention","Atenção",
"AccountAndSyncSettings.apk","bad_authentication","Authentication failed, bad username or password supplied","Nome de utilizador ou a senha não correspondem",
"AccountAndSyncSettings.apk","sync_automatically","Auto-sync","Sincronização automática",
"AccountAndSyncSettings.apk","settings_backup_summary","Back up my settings","Fazer backup de minhas configurações",
"AccountAndSyncSettings.apk","settings_backup","Back up settings","Fazer backup de configurações",
"AccountAndSyncSettings.apk","background_data","Background data","Dados de plano de fundo",
"AccountAndSyncSettings.apk","bad_token","Bad token","Token errado",
"AccountAndSyncSettings.apk","bind_email_dialog_title","Bind E-mail","Email",
"AccountAndSyncSettings.apk","user_email_title","Bind E-mail address","Associar Email",
"AccountAndSyncSettings.apk","user_nickname_title","Bind nickname","Utilizador",
"AccountAndSyncSettings.apk","bind_phone_dialog_title","Bind phone","Telefone",
"AccountAndSyncSettings.apk","user_phone_title","Bind phone number","Associar Número de telemóvel",
"AccountAndSyncSettings.apk","sync_calendar","Calendar","Calendário",
