"ApkName","FieldName","OriginalText","TranslatedText",
"AccountAndSyncSettings.apk","has_nick","Account already has a nickname","Konto już posiada pseudonim",
"AccountAndSyncSettings.apk","app_label","Account and Sync Settings","Nastavitve računa in sinhronizacije",
"AccountAndSyncSettings.apk","account_deleted","Account deleted","Account deleted",
"AccountAndSyncSettings.apk","account_disabled","Account has been banned","Account has been banned",
"AccountAndSyncSettings.apk","user_id","Account ID","Account ID",
"AccountAndSyncSettings.apk","header_account_settings","Account settings","Nastavitve računa",
"AccountAndSyncSettings.apk","sync_settings","Accounts & Sync Settings","Nastavitve računa in sinhronizacije",
"AccountAndSyncSettings.apk","add_account_label","Add account","Dodaj račun",
"AccountAndSyncSettings.apk","header_add_an_account","Add an account","Dodajanje računa",
"AccountAndSyncSettings.apk","has_bound","Already exists","Już istnieje",
"AccountAndSyncSettings.apk","header_application_sync_settings","Application sync settings","Nastavitve sinhronizacije programov",
"AccountAndSyncSettings.apk","background_data_summary","Applications can sync, send, and receive data at any time","Programi lahko kadar koli sinhronizirajo, pošiljajo in sprejemajo podatke",
"AccountAndSyncSettings.apk","sync_automatically_summary","Applications sync data automatically","Programi samodejno sinhronizirajo podatke",
"AccountAndSyncSettings.apk","background_data_dialog_title","Attention","Pozor",
"AccountAndSyncSettings.apk","sync_automatically","Auto-sync","Samodejna sinhronizacija",
"AccountAndSyncSettings.apk","settings_backup_summary","Back up my settings","Varnostno kopiranje nastavitev",
"AccountAndSyncSettings.apk","settings_backup","Back up settings","Nastavitve varnostnega kopiranja",
"AccountAndSyncSettings.apk","background_data","Background data","Podatki v ozadju",
"AccountAndSyncSettings.apk","bind_dialog_button","Bind","Bind",
"AccountAndSyncSettings.apk","bind_email_dialog_title","Bind e-mail","Bind e-mail",
"AccountAndSyncSettings.apk","user_email_title","Bind E-mail address","Bind email address",
"AccountAndSyncSettings.apk","user_nickname_title","Bind nickname","Powiąż pseudonim",
"AccountAndSyncSettings.apk","user_phone_title","Bind phone number","Bind phone number",
"AccountAndSyncSettings.apk","bind_phone_dialog_title","Binding phone","Binding phone",
"AccountAndSyncSettings.apk","sync_calendar","Calendar","Koledar",
"AccountAndSyncSettings.apk","sync_menu_sync_cancel","Cancel sync","Prekliči sinhronizacijo",
"AccountAndSyncSettings.apk","cant_sync_dialog_title","Cannot manually sync","Ročna sinhronizacija ni mogoča",
"AccountAndSyncSettings.apk","preference_change_password_title","Change password","Spremeni geslo",
"AccountAndSyncSettings.apk","sync_contacts","Contacts","Stiki",
"AccountAndSyncSettings.apk","header_data_and_synchronization","Data & synchronization","Podatki in sinhronizacija",
"AccountAndSyncSettings.apk","header_manage_default_accounts","Default account","Privzet račun",
"AccountAndSyncSettings.apk","sync_too_many_deletes","Delete limit exceeded","Omejitev brisanja je presežena",
"AccountAndSyncSettings.apk","sync_really_delete","Delete the items.","Izbriši elemente.",
"AccountAndSyncSettings.apk","disable_mitalk_dialog_title","Disable MiTalk synchronization","Disable MiTalk synchronization",
"AccountAndSyncSettings.apk","background_data_dialog_message","Disabling background data extends battery life and lowers data use. Some applications may still use the background data connection.","Z onemogočanjem podatkov v ozadju se podaljša življenjska doba baterije in zmanjša poraba podatkov. Nekateri programi lahko še vedno uporabljajo podatkovno povezavo v ozadju.",
"AccountAndSyncSettings.apk","disable_mitalk_dialog_message","Disabling MiTalk will mean not to be able to chat directly and sync MiTalk contacts, confirm you want to close the chat and contacts synchronization?","Disabling MiTalk will mean not to be able to chat directly and sync MiTalk contacts, confirm you want to close the chat and contacts synchronization?",
"AccountAndSyncSettings.apk","sync_do_nothing","Do nothing for now.","Zaenkrat ne stori ničesar.",
"AccountAndSyncSettings.apk","really_remove_account_message","Do you really want to log off this account? Logging off will also delete all of its messages, contacts, and other data from the phone. \nProceed?","Ali ste prepričani, da želite odstraniti ta račun? S tem boste iz telefona izbrisali tudi vsa sporočila, stike in druge podatke, ki jih račun vsebuje. \nŽelite nadaljevati?",
"AccountAndSyncSettings.apk","user_email","Email","Email",
"AccountAndSyncSettings.apk","user_email_description","E-mail address for login and account recovery","Email address for login and account recovery",
"AccountAndSyncSettings.apk","user_email_format_error","Email address format is incorrect","Email address format is incorrect",
"AccountAndSyncSettings.apk","email_not_verified","Email has not been verified","Email has not been verified",
"AccountAndSyncSettings.apk","finish_button_label","Finish","Dokončaj",
"AccountAndSyncSettings.apk","header_general_sync_settings","General sync settings","Splošne nastavitve sinhronizacije",
"AccountAndSyncSettings.apk","sync_gmail","Gmail","Gmail",
"AccountAndSyncSettings.apk","user_email_hint","Input your E-mail address here","Input your email address here",
"AccountAndSyncSettings.apk","user_nickname_hint","Input your nickname here","Wprowadź pseudonim",
"AccountAndSyncSettings.apk","user_phone_hint","Input your phone number here","Input your phone number here",
"AccountAndSyncSettings.apk","logoff_account_label","Log off","Wyloguj",
"AccountAndSyncSettings.apk","really_remove_account_title","Log off account","Odstrani račun",
"AccountAndSyncSettings.apk","header_manage_accounts","Manage accounts","Upravljanje računov",
"AccountAndSyncSettings.apk","enable_mitalk_dialog_message","MiTalk account and the current system account are conflicting, the data will be cleared and use MiTalk as default. Synchronize MiTalk?","MiTalk account and the current system account are conflicting, the data will be cleared and use MiTalk as default. Synchronize MiTalk?",
"AccountAndSyncSettings.apk","terms_not_agreed","Must agree to the terms of MIUI","Must agree to the terms of MIUI",
"AccountAndSyncSettings.apk","user_detail","My Card","My Card",
"AccountAndSyncSettings.apk","network_error","Network connection error","Network connection error",
"AccountAndSyncSettings.apk","user_nickname","Nickname","Nickname",
"AccountAndSyncSettings.apk","nickname_exist","Nickname already exists","Pseudonim już istnieje",
"AccountAndSyncSettings.apk","user_nickname_description","Nickname will be used for various Xiaomi services","Pseudonim będzie używany w różnych usługach Xiaomi",
"AccountAndSyncSettings.apk","user_phone","Phone","Phone",
"AccountAndSyncSettings.apk","user_phone_description","Phone number for login and account recovery","Phone number for login and account recovery",
"AccountAndSyncSettings.apk","user_phone_format_error","Phone number format is incorrect","Phone number format is incorrect",
"AccountAndSyncSettings.apk","provider_label","Push subscriptions","Potisne naročnine",
"AccountAndSyncSettings.apk","bad_verification","Registration information format error","Registration information format error",
"AccountAndSyncSettings.apk","remove_account_label","Remove account","Odstrani račun",
"AccountAndSyncSettings.apk","xiaomi_remove_account_title","Remove Xiaomi account","Delete xiaomi account",
"AccountAndSyncSettings.apk","xiaomi_remove_account_message","Removing this account will also delete Xiaomi service data, Market and MiTalk applications (Contacts, SMS and Call logs are retained), are you sure you want to remove?","Deleting this account will also delete phone xiaomi service data, including the supermarket applications, MiTalk data, etc. (contacts, SMS, call history, are still retained); and can not use all MIUI online services; Confirm delete?",
"AccountAndSyncSettings.apk","sending_bind_request","Sending request","Sending request",
"AccountAndSyncSettings.apk","service_disabled","Service has been stopped","Service has been stopped",
"AccountAndSyncSettings.apk","service_unavailable","Service unavailable","Service unavailable",
"AccountAndSyncSettings.apk","sync_item_title","Sync %s","Sinhroniziraj %s",
"AccountAndSyncSettings.apk","sync_error","Sync error","Napaka pri sinhronizaciji",
"AccountAndSyncSettings.apk","cant_sync_dialog_message","Sync for this item is currently disabled. To change your preference, temporarily turn on background data and automatic sync.","Sinhronizacija za ta element je trenutno onemogočena. Če želite spremeniti nastavitev, vklopite podatke v ozadju in samodejno sinhronizacijo.",
"AccountAndSyncSettings.apk","sync_is_failing","Sync is currently experiencing problems. It will be back shortly.","Pri sinhronizaciji je prišlo do težav. Kmalu bo spet na voljo.",
"AccountAndSyncSettings.apk","sync_disabled","Sync is OFF","Sinhronizacija je IZKLOPLJENA",
"AccountAndSyncSettings.apk","sync_enabled","Sync is ON","Sinhronizacija je VKLOPLJENA",
"AccountAndSyncSettings.apk","sync_menu_sync_now","Sync now","Sinhroniziraj",
"AccountAndSyncSettings.apk","enable_mitalk_dialog_title","Synchronizing","Synchronizing",
"AccountAndSyncSettings.apk","user_mitalk_sync_title","Synchronous MiTalk","Synchronous MiTalk",
"AccountAndSyncSettings.apk","sync_too_many_deletes_desc","There are %1$d deleted items for %2$s, account %3$s. What would you like to do?","Izbrisanih je bilo %1$d elementov za %2$s pri računu %3$s. Kaj želite storiti?",
"AccountAndSyncSettings.apk","remove_account_failed","This account is required by some applications. You can only remove it by resetting the phone to factory defaults (which deletes all your personal data). You do that in the Settings application, under Privacy.","Ta račun uporabljajo nekateri programi. Odstranite ga lahko samo, če obnovite tovarniško privzete nastavitve telefona (s tem boste izbrisali tudi vse osebne podatke). To lahko storite v razdelku »Zasebnost« programa »Nastavitve«.",
"AccountAndSyncSettings.apk","bad_token","Token error","Token error",
"AccountAndSyncSettings.apk","sync_one_time_sync","Touch to sync now\n%1$s","Pritisnite, če želite sinhronizirati\n%1$s",
"AccountAndSyncSettings.apk","user_unbind","Unbind","Unbind",
"AccountAndSyncSettings.apk","sync_undo_deletes","Undo the deletes.","Razveljavi brisanje.",
"AccountAndSyncSettings.apk","unknown","Unknown error","Unknown error",
"AccountAndSyncSettings.apk","user_mitalk_sync_summary","Use MiTalk as the current account to login, chat to contacts and use voice chat, enjoy unlimited messages, and sharing pictures for free","Use MiTalk as the current account to login, chat to contacts and use voice chat, enjoy unlimited messages, and sharing pictures for free",
"AccountAndSyncSettings.apk","registered_account","User name registered","User name registered",
"AccountAndSyncSettings.apk","bad_authentication","Username password do not match","Username password do not match",
"AccountAndSyncSettings.apk","user_email_button_verify","Verification","Verification",
"AccountAndSyncSettings.apk","user_nickname_button_verify","Verification","Weryfikacja",
"AccountAndSyncSettings.apk","user_phone_button_verify","Verification","Verification",
"AccountAndSyncSettings.apk","xiaomi_account","Xiaomi Account","Konto Xiaomi",
"AccountAndSyncSettings.apk","bind_email_dialog_message","You will receive an e-mail for verification of the account, please login to your e-mail and click the link to confirm binding","You will receive an e-mail for verification of the account, please login to your e-mail and click the link to confirm binding",
"AccountAndSyncSettings.apk","bind_phone_dialog_message","Your phone will receive a text message to validate the account, please click the confirmation link within the message","Your phone will receive a text message to validate the account, please click the confirmation link within the message",
"AntiSpam.apk","fw_add_keyword_existing","%s keyword already exists","%s keyword already exists",
"AntiSpam.apk","opt_accept_whitelist","Accept whitelisted","Accept whitelisted",
"AntiSpam.apk","add_button","Add","Add",
"AntiSpam.apk","context_add_contact","Add Contact","Add Contact",
"AntiSpam.apk","fw_add_keyword","Add keyword","Add keyword",
"AntiSpam.apk","fw_menu_new_manual","Add number","Add number",
"AntiSpam.apk","fw_menu_new_blacklist_title","Add to blacklist","Add to blacklist",
"AntiSpam.apk","add_whitelist","Add to whitelist","Add to whitelist",
"AntiSpam.apk","fw_menu_new_whitelist_title","Add to whitelist","Add to whitelist",
"AntiSpam.apk","fw_import_blacklist","Adding blacklist...","Dodawanie czarnej listy...",
"AntiSpam.apk","fw_import_whitelist","Adding whitelist...","Dodawanie białej listy...",
"AntiSpam.apk","fw_advanced_settings","Advanced settings","Advanced settings",
"AntiSpam.apk","fw_all_day","All day","All day",
"AntiSpam.apk","fw_no_effect","Anti-disturb feature is not turned on. You need to enable the feature. Continue?","Anti-disturb feature is not turned on. You need to enable the feature. Continue?",
"AntiSpam.apk","fw_on","Anti-disturb is turned ON","Anti-disturb is turned ON",
"AntiSpam.apk","anti_stranger_title","Anti-stranger","Anti-stranger",
"AntiSpam.apk","add_blacklist","Blacklist","Blacklist",
"AntiSpam.apk","fw_blacklist","Blacklist","Blacklist",
"AntiSpam.apk","fw_blacklist_hint","Blacklisted numbers will be blocked on calls and text messages","Blacklisted numbers will be blocked on calls and text messages",
"AntiSpam.apk","anti_stranger_summary","Block calls from callers not in contact list","Block calls from callers not in contact list",
"AntiSpam.apk","fw_blocked_count","Blocked %d Calls %d SMS","Blocked %d Calls %d SMS",
"AntiSpam.apk","act_call","Blocked calls options","Blocked calls options",
"AntiSpam.apk","act_hangup_call_summary","Blocked calls using this option will not appear in call logs","Blocked calls using this option will not appear in call logs",
"AntiSpam.apk","act_ms","Blocked messages options","Blocked messages options",
"AntiSpam.apk","act_del_ms_summary","Blocked messages using this option will not appear in messages logs","Blocked messages using this option will not appear in messages logs",
"AntiSpam.apk","member_firewall_log","Blocked: Calls: %d Messages: %d","Blocked: Calls: %d Messages: %d",
"AntiSpam.apk","black_white_list_tab_title","Blocking","Blocking",
"AntiSpam.apk","fw_action_settings","Blocking actions","Blocking actions",
"AntiSpam.apk","fw_blocked","Blocking is turned ON","Blocking is turned ON",
"AntiSpam.apk","firewall_settings","Blocking settings","Blocking settings",
"AntiSpam.apk","fw_pattern_settings","Blocking settings","Blocking settings",
"AntiSpam.apk","fw_time_settings","Blocking time","Blocking time",
"AntiSpam.apk","context_call","Call","Call",
"AntiSpam.apk","fw_call","Call blocked: %s (%d)","Call blocked: %s (%d)",
"AntiSpam.apk","calllog","Call log","Call log",
"AntiSpam.apk","call_log_tab_title","Calls","Calls",
"AntiSpam.apk","fw_call_rejected","Calls blocked","Calls blocked",
"AntiSpam.apk","fw_call_muted","Calls muted","Calls muted",
"AntiSpam.apk","emptylist_fwlog_call","Calls will be log when the firewall feature is turned ON","Calls will be log when the firewall feature is turned ON",
"AntiSpam.apk","no","Cancel","Cancel",
"AntiSpam.apk","cancel_button","Cancel","Cancel",
"AntiSpam.apk","check_all","Check all","Check all",
"AntiSpam.apk","check_nothing","Clear All","Clear All",
"AntiSpam.apk","fw_clear_all_keyword","Clear all keywords","Clear all keywords",
"AntiSpam.apk","fw_clear_blacklist","Clear blacklist","Clear blacklist",
"AntiSpam.apk","clear_all_calllog","Clear call logs","Clear call logs",
"AntiSpam.apk","clear_all_mslog","Clear message logs","Clear message logs",
"AntiSpam.apk","fw_clear_whitelist","Clear whitelist","Clear whitelist",
"AntiSpam.apk","confirm","Confirm","Confirm",
"AntiSpam.apk","act_action_accept_accept","Default","Default",
"AntiSpam.apk","act_ignore_ms","Default","Default",
"AntiSpam.apk","act_ignore_call","Default","Default",
"AntiSpam.apk","menu_edit","Edit","Edit",
"AntiSpam.apk","edit_blacklist","Edit blacklist","Edit blacklist",
"AntiSpam.apk","fw_edit_keyword","Edit keyword","Edit keyword",
"AntiSpam.apk","edit_whitelist","Edit whitelist","Edit whitelist",
"AntiSpam.apk","enable_firewall","Enable blocking","Enable blocking",
"AntiSpam.apk","fw_end_time","End time","End time",
"AntiSpam.apk","number_add_hint","Enter phone number","Enter phone number",
"AntiSpam.apk","fw_add_list_title","Enter phone number","Enter phone number",
"AntiSpam.apk","fw_keyword_filter_summary","Filter messages based on keywords","Filter messages based on keywords",
"AntiSpam.apk","fw_ms_filtered","Filter SMS","Filter SMS",
"AntiSpam.apk","app_name","Firewall","Firewall",
"AntiSpam.apk","firewall_action","Firewall action","Firewall action",
"AntiSpam.apk","firewall_log","Firewall log","Firewall log",
"AntiSpam.apk","fw_import_ms","Import all messages of contact","Import all messages of contact",
"AntiSpam.apk","fw_keyword_list","Keyword list","Keyword list",
"AntiSpam.apk","mms_log_tab_title","Messages","Messages",
"AntiSpam.apk","fw_ms_rejected","Messages blocked","Messages blocked",
"AntiSpam.apk","fw_ms","Messages blocked: %s (%d)","Messages blocked: %s (%d)",
"AntiSpam.apk","fw_keyword_filter","Messages filtering","Messages filtering",
"AntiSpam.apk","fw_ms_imported","Messages imported","Messages imported",
"AntiSpam.apk","fw_ms_muted","Messages muted","Messages muted",
"AntiSpam.apk","fw_keyword_list_hint","Messages received containing the following keywords will be blocked","Messages received containing the following keywords will be blocked",
"AntiSpam.apk","act_action_mute_accept","Mute calls","Mute calls",
"AntiSpam.apk","act_mute_call","Mute calls","Mute calls",
"AntiSpam.apk","act_action_mute_mute","Mute calls and messages","Mute calls and messages",
"AntiSpam.apk","act_action_mute_reject","Mute calls, Reject messages","Mute calls, Reject messages",
"AntiSpam.apk","act_action_accept_mute","Mute messages","Mute messages",
"AntiSpam.apk","act_mute_ms","Mute messages","Mute messages",
"AntiSpam.apk","context_new_contact","New Contact","New Contact",
"AntiSpam.apk","act_mute_call_summary","No notification and vibration, calls will be recorded in call logs","No notification and vibration, calls will be recorded in call logs",
"AntiSpam.apk","act_mute_ms_summary","No notification and vibration, messages will be recorded in messages logs","No notification and vibration, messages will be recorded in messages logs",
"AntiSpam.apk","fw_notes_hint","Note(optional)","Note(optional)",
"AntiSpam.apk","fw_notification_settings","Notification settings","Notification settings",
"AntiSpam.apk","fw_in_blacklist","Number: %s already exists in blacklist","Number: %s already exists in blacklist",
"AntiSpam.apk","fw_in_whitelist","Number: %s already exists in whitelist","Number: %s already exists in whitelist",
"AntiSpam.apk","fw_period","Period of time","Period of time",
"AntiSpam.apk","opt_reject_all","Reject all","Reject all",
"AntiSpam.apk","opt_reject_blacklist","Reject blacklisted","Reject blacklisted",
"AntiSpam.apk","opt_reject_blacklist_stranger_summary","Reject blacklisted, accept whitelisted","Reject blacklisted, accept whitelisted",
"AntiSpam.apk","act_hangup_call","Reject calls","Reject calls",
"AntiSpam.apk","act_action_reject_accept","Reject calls","Reject calls",
"AntiSpam.apk","act_action_reject_reject","Reject calls and messages","Reject calls and messages",
"AntiSpam.apk","act_action_reject_mute","Reject calls, Mute messages","Reject calls, Mute messages",
"AntiSpam.apk","act_del_ms","Reject messages","Reject messages",
"AntiSpam.apk","act_action_accept_reject","Reject messages","Reject messages",
"AntiSpam.apk","opt_reject_blacklist_stranger","Reject not in contacts","Reject not in contacts",
"AntiSpam.apk","fw_menu_remove","Remove","Remove",
"AntiSpam.apk","remove","Remove in blocked list","Remove in blocked list",
"AntiSpam.apk","fw_restore_ms","Restore messages","Restore messages",
"AntiSpam.apk","save_button","Save","Save",
"AntiSpam.apk","fw_menu_pick_from_contact","Select from contacts...","Select from contacts...",
"AntiSpam.apk","context_ms","Send SMS / MMS","Send SMS / MMS",
"AntiSpam.apk","fw_set_keyword","Set keyword filter(s)","Set keyword filter(s)",
"AntiSpam.apk","firewall_settings_tab_title","Settings","Settings",
"AntiSpam.apk","show_notification","Show all notifications","Show all notifications",
"AntiSpam.apk","show_firewall_notification","Show notification icon","Show notification icon",
"AntiSpam.apk","emptylist_fwlog_ms","SMS and MMS will be log when the firewall feature is turned ON","SMS and MMS will be log when the firewall feature is turned ON",
"AntiSpam.apk","fw_start_time","Start time","Start time",
"AntiSpam.apk","fw_whitelist","Whitelist","Whitelist",
"AntiSpam.apk","fw_whitelist_hint","Whitelisted numbers will be allowed on calls and text messages","Whitelisted numbers will be allowed on calls and text messages",
"ApplicationsProvider.apk","application_desc","Application","Program",
"ApplicationsProvider.apk","search_label","Apps","Google Aplikacije",
"ApplicationsProvider.apk","settings_description","Names of installed applications","Imena nameščenih programov",
"ApplicationsProvider.apk","app_label","Search Applications Provider","Iskanje ponudnika programov",
"Backup.apk","app_type_desc-app_type_desc-string-array-item1","(Applications)","(Aplikacije)",
"Backup.apk","settings_summary","(Basic settings such as phone, messages, etc.)","(Osnovne nastavitve, kot npr. telefon, sporočila, ipd.)",
"Backup.apk","app_type_desc-app_type_desc-string-array-item2","(Data + Applications)","(Podatki + Aplikacije)",
"Backup.apk","app_type_desc-app_type_desc-string-array-item0","(Data)","(Podatki)",
"Backup.apk","restore_launcher_layout_hit","(Note: Deleted programs can\'t be restore)","(Opozorilo: Izbrisani programi ne morejo biti obnovljeni)",
"Backup.apk","restore_telephony_hit","(Note: Phone will restart after restore is completed)","(Opozorilo: Telefon se bo samodejno ponovno zagnal ob koncu obnovitve)",
"Backup.apk","restore_contacts_hit","(Note: You need to create an account before contacts can be restored)","(Opozorilo: Pred obnovitvijo stikov morate narediti račun)",
"Backup.apk","delete_backup_confirm","\nBackup will be removed, please confirm?","\nVarnostna kopija bo izbrisana, ste prepričani?",
"Backup.apk","backup_recently","\u0020(Latest)","(Zadnje)",
"Backup.apk","cloud_item_info_summary","\u0020(Local %1$s | Online %2$s)","(Local %1$s | Online %2$s)",
"Backup.apk","backup_items_app_tailer","\u0020App Data Files\u0020","\u0020Datoteke aplikacij",
"Backup.apk","unit_byte","\u0020Bytes","\u0020bajtov",
"Backup.apk","unit_piece","\u0020Items","\u0020predmetov",
"Backup.apk","backup_items_sysdata_tailer","\u0020System Data Files\u0020","\u0020Datoteke sistemskih podatkov",
"Backup.apk","task_canceled_local","%1$s task(s) cancelled","%1$s task(s) cancelled",
"Backup.apk","auto_backup_interval_hint","%d Day(s)","%d Day(s)",
"Backup.apk","total_num","%d record(s) in total","%d record(s) in total",
"Backup.apk","auto_backup_interval_min","1 Day","1 Day",
