
"ApkName","FieldName","OriginalText","TranslatedText",
"AccountAndSyncSettings.apk","has_nick","Account already has a nickname","Hesap zaten bir takma ad",
"AccountAndSyncSettings.apk","app_label","Account and Sync Settings","Tài khoản và đồng bộ",
"AccountAndSyncSettings.apk","account_deleted","Account deleted","Account deleted",
"AccountAndSyncSettings.apk","account_disabled","Account has been banned","Account has been banned",
"AccountAndSyncSettings.apk","user_id","Account ID","Account ID",
"AccountAndSyncSettings.apk","header_account_settings","Account settings","Thiết lập Tài khoản",
"AccountAndSyncSettings.apk","sync_settings","Accounts & Sync Settings","Thiết lập Tài khoản &Đồng bộ",
"AccountAndSyncSettings.apk","add_account_label","Add account","Thêm tài khoản",
"AccountAndSyncSettings.apk","header_add_an_account","Add an account","Thêm Tài khoản",
"AccountAndSyncSettings.apk","has_bound","Already exists","Zaten var",
"AccountAndSyncSettings.apk","header_application_sync_settings","Application sync settings","Thiêt lập ứng dụng Đồng bộ",
"AccountAndSyncSettings.apk","background_data_summary","Applications can sync, send, and receive data at any time","Các Ứng dụng có thể đồng bộ, gửi và nhận dữ liệu bất cứ lúc nào",
"AccountAndSyncSettings.apk","sync_automatically_summary","Applications sync data automatically","Các Ứng dụng sẽ tự động đồng bộ dữ liệu",
"AccountAndSyncSettings.apk","background_data_dialog_title","Attention","Chú ý",
"AccountAndSyncSettings.apk","sync_automatically","Auto-sync","Tự động Đồng bộ",
"AccountAndSyncSettings.apk","settings_backup_summary","Back up my settings","Sao lưu thiết lập của tôi",
"AccountAndSyncSettings.apk","settings_backup","Back up settings","Sao lưu thiết lập",
"AccountAndSyncSettings.apk","background_data","Background data","Dữ liệu chạy nền",
"AccountAndSyncSettings.apk","bind_dialog_button","Bind","Bind",
"AccountAndSyncSettings.apk","bind_email_dialog_title","Bind e-mail","Bind e-mail",
"AccountAndSyncSettings.apk","user_email_title","Bind E-mail address","Bind email address",
"AccountAndSyncSettings.apk","user_nickname_title","Bind nickname","Takma ad ilişkilendir",
"AccountAndSyncSettings.apk","user_phone_title","Bind phone number","Bind phone number",
"AccountAndSyncSettings.apk","bind_phone_dialog_title","Binding phone","Binding phone",
"AccountAndSyncSettings.apk","sync_calendar","Calendar","Lịch",
